#
# Output file generated by Yacora 1.6.3
# =====================================
#   Filename: 'PopKoeff_n=3.txt'
#   Date of creation: 22. May 2025
#   Time of creation: 08:17:41
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(3)' coupled to the particle 'H(1)'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 79 calculated values between 1.0000 and 100.0000
#              T_n1: Fixed value 9284.0000
#              n_e: 196 calculated values between 1.0000e+16 and 1.0000e+21
#              n_i1: Fixed value 0.0000
#              n_n1: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+16    7.29459704e-28     
   1.0000        1.0608e+16    7.29404974e-28     
   1.0000        1.1253e+16    7.29348890e-28     
   1.0000        1.1938e+16    7.29291407e-28     
   1.0000        1.2664e+16    7.29232479e-28     
   1.0000        1.3434e+16    7.29172058e-28     
   1.0000        1.4251e+16    7.29110092e-28     
   1.0000        1.5118e+16    7.29046530e-28     
   1.0000        1.6037e+16    7.28981317e-28     
   1.0000        1.7013e+16    7.28914396e-28     
   1.0000        1.8047e+16    7.28845709e-28     
   1.0000        1.9145e+16    7.28775192e-28     
   1.0000        2.0309e+16    7.28702782e-28     
   1.0000        2.1544e+16    7.28628411e-28     
   1.0000        2.2855e+16    7.28552010e-28     
   1.0000        2.4245e+16    7.28473505e-28     
   1.0000        2.5719e+16    7.28392820e-28     
   1.0000        2.7283e+16    7.28309874e-28     
   1.0000        2.8943e+16    7.28224586e-28     
   1.0000        3.0703e+16    7.28136867e-28     
   1.0000        3.2570e+16    7.28046626e-28     
   1.0000        3.4551e+16    7.27953770e-28     
   1.0000        3.6652e+16    7.27858199e-28     
   1.0000        3.8882e+16    7.27759810e-28     
   1.0000        4.1246e+16    7.27658493e-28     
   1.0000        4.3755e+16    7.27554137e-28     
   1.0000        4.6416e+16    7.27446623e-28     
   1.0000        4.9239e+16    7.27335826e-28     
   1.0000        5.2233e+16    7.27221619e-28     
   1.0000        5.5410e+16    7.27103866e-28     
   1.0000        5.8780e+16    7.26982425e-28     
   1.0000        6.2355e+16    7.26857148e-28     
   1.0000        6.6147e+16    7.26727879e-28     
   1.0000        7.0170e+16    7.26594456e-28     
   1.0000        7.4438e+16    7.26456709e-28     
   1.0000        7.8965e+16    7.26314459e-28     
   1.0000        8.3768e+16    7.26167519e-28     
   1.0000        8.8862e+16    7.26015691e-28     
   1.0000        9.4267e+16    7.25858770e-28     
   1.0000        1.0000e+17    7.25696538e-28     
   1.0000        1.0608e+17    7.25528769e-28     
   1.0000        1.1253e+17    7.25355224e-28     
   1.0000        1.1938e+17    7.25175652e-28     
   1.0000        1.2664e+17    7.24989790e-28     
   1.0000        1.3434e+17    7.24797361e-28     
   1.0000        1.4251e+17    7.24598076e-28     
   1.0000        1.5118e+17    7.24391628e-28     
   1.0000        1.6037e+17    7.24177698e-28     
   1.0000        1.7013e+17    7.23955949e-28     
   1.0000        1.8047e+17    7.23726027e-28     
   1.0000        1.9145e+17    7.23487562e-28     
   1.0000        2.0309e+17    7.23240163e-28     
   1.0000        2.1544e+17    7.22983420e-28     
   1.0000        2.2855e+17    7.22716902e-28     
   1.0000        2.4245e+17    7.22440157e-28     
   1.0000        2.5719e+17    7.22152707e-28     
   1.0000        2.7283e+17    7.21854051e-28     
   1.0000        2.8943e+17    7.21543661e-28     
   1.0000        3.0703e+17    7.21220983e-28     
   1.0000        3.2570e+17    7.20885429e-28     
   1.0000        3.4551e+17    7.20536384e-28     
   1.0000        3.6652e+17    7.20173196e-28     
   1.0000        3.8882e+17    7.19795181e-28     
   1.0000        4.1246e+17    7.19401614e-28     
   1.0000        4.3755e+17    7.18991730e-28     
   1.0000        4.6416e+17    7.18564725e-28     
   1.0000        4.9239e+17    7.18119746e-28     
   1.0000        5.2233e+17    7.17655895e-28     
   1.0000        5.5410e+17    7.17172222e-28     
   1.0000        5.8780e+17    7.16667726e-28     
   1.0000        6.2355e+17    7.16141349e-28     
   1.0000        6.6147e+17    7.15591976e-28     
   1.0000        7.0170e+17    7.15018429e-28     
   1.0000        7.4438e+17    7.14419467e-28     
   1.0000        7.8965e+17    7.13793783e-28     
   1.0000        8.3768e+17    7.13139999e-28     
   1.0000        8.8862e+17    7.12456665e-28     
   1.0000        9.4267e+17    7.11742256e-28     
   1.0000        1.0000e+18    7.10995170e-28     
   1.0000        1.0608e+18    7.10213721e-28     
   1.0000        1.1253e+18    7.09396143e-28     
   1.0000        1.1938e+18    7.08540581e-28     
   1.0000        1.2664e+18    7.07645091e-28     
   1.0000        1.3434e+18    7.06707640e-28     
   1.0000        1.4251e+18    7.05726096e-28     
   1.0000        1.5118e+18    7.04698232e-28     
   1.0000        1.6037e+18    7.03621720e-28     
   1.0000        1.7013e+18    7.02494131e-28     
   1.0000        1.8047e+18    7.01312926e-28     
