#
# Output file generated by Yacora 1.6.3
# =====================================
#   Filename: 'PopKoeff_n=3.txt'
#   Date of creation: 22. May 2025
#   Time of creation: 08:18:06
#   Used input file: 'H_20_11_2019.txt'
#   Performed calculation: Population Coefficient for state 'H(3)' coupled to the particle 'H2'
#
#   Please cite D. Wünderlich, M. Giacomin, R. Ritz and U. Fantz, J. Quant. Spectrosc. Radiat. Transfer 240, 2020, 106695, if you use Yacora results.
#
# Description of the used Parameters:
# ===================================
#
#   Temperatures and Densities: 
#              T_e: 79 calculated values between 1.0000 and 100.0000
#              T_n1: Fixed value 9284.0000
#              n_e: 196 calculated values between 1.0000e+16 and 1.0000e+21
#              n_i1: Fixed value 0.0000
#              n_n2: Fixed value 1.0000

#   Electron energy distribution function: 
#              Maxwellian
#
# Calculated Data:
# ================
#  T_e           n_e           POP_COEFF      
   1.0000        1.0000e+16    2.00489477e-31     
   1.0000        1.0608e+16    2.00481906e-31     
   1.0000        1.1253e+16    2.00474025e-31     
   1.0000        1.1938e+16    2.00465822e-31     
   1.0000        1.2664e+16    2.00457283e-31     
   1.0000        1.3434e+16    2.00448395e-31     
   1.0000        1.4251e+16    2.00439143e-31     
   1.0000        1.5118e+16    2.00429512e-31     
   1.0000        1.6037e+16    2.00419486e-31     
   1.0000        1.7013e+16    2.00409050e-31     
   1.0000        1.8047e+16    2.00398186e-31     
   1.0000        1.9145e+16    2.00386877e-31     
   1.0000        2.0309e+16    2.00375103e-31     
   1.0000        2.1544e+16    2.00362846e-31     
   1.0000        2.2855e+16    2.00350086e-31     
   1.0000        2.4245e+16    2.00336802e-31     
   1.0000        2.5719e+16    2.00322971e-31     
   1.0000        2.7283e+16    2.00308571e-31     
   1.0000        2.8943e+16    2.00293579e-31     
   1.0000        3.0703e+16    2.00277969e-31     
   1.0000        3.2570e+16    2.00261715e-31     
   1.0000        3.4551e+16    2.00244792e-31     
   1.0000        3.6652e+16    2.00227169e-31     
   1.0000        3.8882e+16    2.00208818e-31     
   1.0000        4.1246e+16    2.00189709e-31     
   1.0000        4.3755e+16    2.00169808e-31     
   1.0000        4.6416e+16    2.00149083e-31     
   1.0000        4.9239e+16    2.00127499e-31     
   1.0000        5.2233e+16    2.00105018e-31     
   1.0000        5.5410e+16    2.00081602e-31     
   1.0000        5.8780e+16    2.00057212e-31     
   1.0000        6.2355e+16    2.00031805e-31     
   1.0000        6.6147e+16    2.00005337e-31     
   1.0000        7.0170e+16    1.99977763e-31     
   1.0000        7.4438e+16    1.99949034e-31     
   1.0000        7.8965e+16    1.99919100e-31     
   1.0000        8.3768e+16    1.99887907e-31     
   1.0000        8.8862e+16    1.99855401e-31     
   1.0000        9.4267e+16    1.99821522e-31     
   1.0000        1.0000e+17    1.99786211e-31     
   1.0000        1.0608e+17    1.99749403e-31     
   1.0000        1.1253e+17    1.99711030e-31     
   1.0000        1.1938e+17    1.99671023e-31     
   1.0000        1.2664e+17    1.99629307e-31     
   1.0000        1.3434e+17    1.99585805e-31     
   1.0000        1.4251e+17    1.99540435e-31     
   1.0000        1.5118e+17    1.99493111e-31     
   1.0000        1.6037e+17    1.99443744e-31     
   1.0000        1.7013e+17    1.99392240e-31     
   1.0000        1.8047e+17    1.99338499e-31     
   1.0000        1.9145e+17    1.99282417e-31     
   1.0000        2.0309e+17    1.99223884e-31     
   1.0000        2.1544e+17    1.99162787e-31     
   1.0000        2.2855e+17    1.99099004e-31     
   1.0000        2.4245e+17    1.99032409e-31     
   1.0000        2.5719e+17    1.98962867e-31     
   1.0000        2.7283e+17    1.98890239e-31     
   1.0000        2.8943e+17    1.98814377e-31     
   1.0000        3.0703e+17    1.98735124e-31     
   1.0000        3.2570e+17    1.98652319e-31     
   1.0000        3.4551e+17    1.98565787e-31     
   1.0000        3.6652e+17    1.98475347e-31     
   1.0000        3.8882e+17    1.98380808e-31     
   1.0000        4.1246e+17    1.98281967e-31     
   1.0000        4.3755e+17    1.98178611e-31     
   1.0000        4.6416e+17    1.98070517e-31     
   1.0000        4.9239e+17    1.97957446e-31     
